Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,AvgVTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating
19/5/2026,10:22:47,CNR7291299,Success,CUST37798,Prime Sedan,BTM Layout,Majestic,11.4,32.2,No,,No,,No,,745.51,28.3,4.5,3.6
5/5/2026,16:24:03,CNR9059622,Success,CUST88522,eBike,Anekal,Majestic,4.2,43.5,No,,No,,No,,298.31,4.9,4.2,4.6
3/5/2026,18:25:30,CNR5076165,Incomplete,CUST64907,eBike,Kadugodi,Kalyan Nagar,,,No,,No,,Yes,Customer Demand,,,,
30/5/2026,17:59:38,CNR7009643,Pending,CUST34528,Auto,CV Raman Nagar,Anekal,,,No,,No,,No,,,,,
31/5/2026,16:19:24,CNR5105432,Success,CUST47287,Mini,Bannerghatta Road,Cunningham Road,11,38.8,No,,No,,No,,355.77,13.2,4.1,3.6
24/5/2026,16:16:06,CNR6818944,Success,CUST49268,Prime SUV,RT Nagar,Hebbal,10.9,26.3,No,,No,,No,,430.45,28.5,3.9,4
10/5/2026,8:40:51,CNR4655747,Success,CUST49649,eBike,Ulsoor,Begur,3.8,44.9,No,,No,,No,,1066.29,4.7,4.4,4.6
3/5/2026,16:07:39,CNR1606578,Success,CUST21513,Prime Plus,Kadugodi,Indiranagar,8.2,55.8,No,,No,,No,,1229.53,31,4.2,4.2
22/5/2026,18:11:37,CNR2112684,Success,CUST49800,Prime Plus,Brookefield,Frazer Town,11.2,14.4,No,,No,,No,,543.71,30.9,4.5,5
14/5/2026,19:09:49,CNR1906432,Cancelled by Driver,CUST68163,Prime Sedan,Bommanahalli,Electronic City,,,No,,Yes,Personal & Car related issues,No,,,,,
3/5/2026,5:21:23,CNR8683969,Success,CUST31748,Auto,KR Puram,Peenya,11.3,18.7,No,,No,,No,,379.81,3.9,3.9,4.1
16/5/2026,7:20:08,CNR3867588,Cancelled by Customer,CUST69657,Auto,Sahakar Nagar,Rajajinagar,,,Yes,Wrong Address,No,,No,,,,,
2/5/2026,10:40:35,CNR1309640,Success,CUST70824,Prime Sedan,Whitefield,Chickpet,11,44,No,,No,,No,,192.99,24.1,4.9,3.6
29/5/2026,15:03:36,CNR7492241,Success,CUST69955,Auto,Bommanahalli,JP Nagar,6.4,46.9,No,,No,,No,,114.6,11.6,4.7,3.9
9/5/2026,10:57:13,CNR9735721,Success,CUST79145,eBike,Anekal,Koramangala,5.8,20.3,No,,No,,No,,649.8,28.6,4.7,4.9
21/5/2026,18:27:36,CNR8713752,Success,CUST40869,Prime SUV,Hebbal,Hoodi,7.6,46.1,No,,No,,No,,97.61,1.6,4.8,4.8
10/5/2026,7:08:32,CNR9103656,Pending,CUST76644,eBike,Hennur,Yeshwanthpur,,,No,,No,,No,,,,,
17/5/2026,17:46:39,CNR2339485,Success,CUST99805,Mini,Yelahanka,Bellandur,8.7,34.9,No,,No,,No,,448.47,2.3,3.6,4.3
17/5/2026,19:21:11,CNR2778288,Success,CUST56627,Prime SUV,Jayanagar,Bellandur,10.9,44.8,No,,No,,No,,655.55,23.7,4.2,4.2
6/5/2026,8:27:38,CNR3843851,Pending,CUST76303,Mini,Jayanagar,Begur,,,No,,No,,No,,,,,
31/5/2026,17:01:01,CNR4011253,Success,CUST37545,Prime SUV,CV Raman Nagar,Cunningham Road,9.4,23.5,No,,No,,No,,237.93,12,4.2,4.2
24/5/2026,14:54:28,CNR1268680,Cancelled by Customer,CUST45263,Prime Plus,HSR Layout,Sarjapur Road,,,Yes,AC is not working,No,,No,,,,,
30/5/2026,16:22:50,CNR7224085,Cancelled by Customer,CUST18282,Mini,Bellandur,Hoodi,,,Yes,Wrong Address,No,,No,,,,,
29/5/2026,11:52:32,CNR5064882,Success,CUST33381,Bike,Hennur,Kalyan Nagar,7,35.3,No,,No,,No,,196.55,4.7,3.6,4.5
18/5/2026,4:28:43,CNR2927173,Success,CUST15313,Prime Sedan,Shivajinagar,Domlur,6.4,41.1,No,,No,,No,,213.32,35,4.2,3.8
30/5/2026,13:16:44,CNR2302767,Success,CUST25161,Auto,Devanahalli,Hoodi,10.7,16.8,No,,No,,No,,278.88,19.3,4.5,4.2
3/5/2026,16:00:39,CNR2513489,Cancelled by Customer,CUST63672,Mini,Lalbagh,Koramangala,,,Yes,Wrong Address,No,,No,,,,,
6/5/2026,19:36:35,CNR2816984,Success,CUST25418,Prime Plus,Bommanahalli,BTM Layout,8,38.4,No,,No,,No,,248.92,22.3,4.8,4.9
2/5/2026,16:19:30,CNR2653175,Success,CUST44887,Prime Plus,Kadugodi,Wilson Garden,10.9,47.2,No,,No,,No,,440.62,15.7,4.5,4.3
10/5/2026,7:18:02,CNR2800579,Success,CUST21824,Prime Sedan,Kalyan Nagar,MG Road,8.7,37.7,No,,No,,No,,489.65,33,3.8,3.5
12/5/2026,20:01:58,CNR4385905,Success,CUST35802,Prime Sedan,Hennur,RT Nagar,6.4,24.1,No,,No,,No,,696.24,15,3.8,3.6
9/5/2026,16:53:37,CNR1919801,Success,CUST17950,Prime SUV,Shivajinagar,Whitefield,11.7,41.7,No,,No,,No,,787.9,33.2,3.5,4.3
25/5/2026,14:21:20,CNR4415840,Success,CUST12198,Bike,RT Nagar,Rajajinagar,9.3,47.8,No,,No,,No,,589.38,9.3,4.9,5
10/5/2026,17:46:31,CNR8495915,Cancelled by Driver,CUST20848,Bike,Nagawara,Sahakar Nagar,,,No,,Yes,More than permitted people in there,No,,,,,
9/5/2026,16:34:56,CNR4340816,Cancelled by Customer,CUST17799,Auto,Bannerghatta Road,Bommanahalli,,,Yes,Wrong Address,No,,No,,,,,
17/5/2026,22:11:25,CNR1894748,Success,CUST90135,eBike,Frazer Town,Madiwala,4.4,42.1,No,,No,,No,,174.95,15.1,3.8,4.4
4/5/2026,9:39:09,CNR9050161,Success,CUST98869,Prime Sedan,Basavanagudi,JP Nagar,6.5,47.1,No,,No,,No,,762.62,19.2,3.8,4.8
24/5/2026,12:30:38,CNR7231097,Success,CUST94656,Mini,Hennur,Nagawara,10.7,21.6,No,,No,,No,,158.93,22.8,3.5,4.4
3/5/2026,1:35:10,CNR7645996,Pending,CUST17640,eBike,Peenya,Hennur,,,No,,No,,No,,,,,
31/5/2026,15:09:35,CNR1317892,Pending,CUST50226,Auto,Bannerghatta Road,Kalyan Nagar,,,No,,No,,No,,,,,
24/5/2026,6:40:23,CNR9998472,Success,CUST98185,eBike,Bellandur,Whitefield,9.9,24.6,No,,No,,No,,159.69,13,4.2,4.3
6/5/2026,16:15:14,CNR6729905,Success,CUST16697,Auto,Bellandur,Shivajinagar,2.9,30.7,No,,No,,No,,160.2,21.4,4.4,4.6
1/5/2026,18:24:25,CNR1655367,Pending,CUST14425,Prime Plus,Anekal,Domlur,,,No,,No,,No,,,,,
25/5/2026,11:20:03,CNR4499726,Cancelled by Customer,CUST82808,Prime SUV,Richmond Town,Wilson Garden,,,Yes,Change of plans,No,,No,,,,,
23/5/2026,6:49:51,CNR2349598,Success,CUST10856,Mini,Anekal,Chickpet,11.2,44.4,No,,No,,No,,411.86,33.3,4.8,4.3
23/5/2026,15:53:39,CNR9282005,Success,CUST35354,Prime SUV,HSR Layout,Cunningham Road,11.3,25.2,No,,No,,No,,268.95,22.2,3.8,4.5
24/5/2026,10:15:27,CNR8514553,Success,CUST29533,Prime Plus,Wilson Garden,Marathahalli,4.5,50.4,No,,No,,No,,525.51,17.4,4.7,4
3/5/2026,21:03:59,CNR3015994,Success,CUST13978,Bike,MG Road,Basavanagudi,11.2,51.2,No,,No,,No,,1097.77,8.6,3.7,3.9
10/5/2026,15:53:36,CNR8796312,Incomplete,CUST56526,eBike,Jayanagar,Frazer Town,,,No,,No,,Yes,Customer Demand,,,,
3/5/2026,9:06:10,CNR1168611,Success,CUST75413,Prime Plus,Indiranagar,Kadugodi,8.6,29.6,No,,No,,No,,142.79,9.1,5,4.6
27/5/2026,11:04:24,CNR4359511,Success,CUST47870,Bike,BTM Layout,Marathahalli,11,36.4,No,,No,,No,,101.88,19.2,3.9,4.7
19/5/2026,9:01:48,CNR6688673,Success,CUST12669,Prime Plus,Airport Road,Shivajinagar,6.1,41.7,No,,No,,No,,948.46,11,3.6,4.4
10/5/2026,11:48:10,CNR6544345,Cancelled by Driver,CUST94811,Mini,Shivajinagar,Banashankari,,,No,,Yes,More than permitted people in there,No,,,,,
2/5/2026,15:05:54,CNR6339108,Success,CUST79668,eBike,Ulsoor,JP Nagar,7.5,10.5,No,,No,,No,,430.11,23.2,3.8,3.9
10/5/2026,5:57:24,CNR2885420,Success,CUST31269,Mini,Hebbal,Basavanagudi,6.9,53.5,No,,No,,No,,578.87,19.8,5,4.6
10/5/2026,20:35:22,CNR3458658,Success,CUST48022,Prime Plus,Ulsoor,Hoodi,8.5,59.5,No,,No,,No,,188.14,19.1,4,4.5
23/5/2026,11:55:09,CNR3393699,Success,CUST78782,Prime SUV,Koramangala,Anekal,10.9,15.5,No,,No,,No,,601.49,31.7,4.2,4
20/5/2026,11:21:28,CNR7387097,Success,CUST32093,eBike,Bellandur,Peenya,3.2,26.4,No,,No,,No,,157.91,21.9,4.8,3.6
28/5/2026,9:10:15,CNR2382830,Pending,CUST63727,eBike,Jayanagar,Frazer Town,,,No,,No,,No,,,,,
16/5/2026,0:47:21,CNR1033105,Success,CUST28713,Prime Sedan,Hoodi,Lalbagh,9.2,52.5,No,,No,,No,,889.28,31,4.5,4.9
3/5/2026,18:46:58,CNR6762463,Success,CUST51619,Prime SUV,Devanahalli,Banashankari,6.9,35.5,No,,No,,No,,168.52,12.8,4.4,4.6
23/5/2026,20:21:25,CNR9625810,Success,CUST68476,eBike,Kalyan Nagar,Electronic City,7.5,29.7,No,,No,,No,,138.15,24.7,4.6,4.8
24/5/2026,17:33:34,CNR1675681,Success,CUST61363,eBike,Bellandur,Basavanagudi,2.3,21,No,,No,,No,,1164.75,33.2,4.9,4.2
17/5/2026,13:54:53,CNR9045053,Cancelled by Driver,CUST28634,Prime SUV,CV Raman Nagar,Bommanahalli,,,No,,Yes,Customer related issue,No,,,,,
24/5/2026,2:02:50,CNR6794938,Cancelled by Driver,CUST49994,Auto,JP Nagar,Cunningham Road,,,No,,Yes,Customer related issue,No,,,,,
16/5/2026,20:34:11,CNR2619102,Success,CUST33178,Mini,Marathahalli,Nagawara,3.3,32.5,No,,No,,No,,2079.59,21.6,4.9,4.4
17/5/2026,15:59:18,CNR4891154,Cancelled by Driver,CUST24494,eBike,Peenya,Kalyan Nagar,,,No,,Yes,The customer was coughing/sick,No,,,,,
14/5/2026,15:59:51,CNR1984157,Cancelled by Driver,CUST17913,Prime SUV,Nagawara,Hoodi,,,No,,Yes,The customer was coughing/sick,No,,,,,
2/5/2026,18:04:48,CNR2279330,Success,CUST66010,Auto,Malleshwaram,Yeshwanthpur,2.4,48,No,,No,,No,,1158.07,7.3,4.2,4.6
3/5/2026,1:03:55,CNR2057022,Pending,CUST32131,Prime Plus,Jayanagar,Airport Road,,,No,,No,,No,,,,,
2/5/2026,16:08:22,CNR6166118,Success,CUST74370,Prime SUV,Yelahanka,Frazer Town,4.3,43,No,,No,,No,,339.04,6.1,4.1,4.4
20/5/2026,5:33:29,CNR6225057,Success,CUST77496,Prime SUV,MG Road,Anekal,3.9,10.2,No,,No,,No,,282.63,20.5,4.2,4.1
10/5/2026,11:36:57,CNR4813284,Cancelled by Customer,CUST94746,Mini,Brookefield,Bommanahalli,,,Yes,Driver is not moving towards pickup location,No,,No,,,,,
16/5/2026,16:44:08,CNR3800728,Success,CUST54043,Auto,Brookefield,Jayanagar,2.1,39.8,No,,No,,No,,590.71,17.9,4.7,4.1
29/5/2026,12:13:23,CNR8836983,Success,CUST96462,Bike,Airport Road,Marathahalli,4.1,11.6,No,,No,,No,,875.33,18.4,4.3,3.9
9/5/2026,7:13:30,CNR5484725,Cancelled by Driver,CUST33807,Prime SUV,Jayanagar,Domlur,,,No,,Yes,Personal & Car related issues,No,,,,,
13/5/2026,9:20:48,CNR8890908,Incomplete,CUST12979,Bike,Sahakar Nagar,Basavanagudi,,,No,,No,,Yes,Customer Demand,,,,
24/5/2026,15:55:07,CNR2021715,Success,CUST44847,Mini,Koramangala,KR Puram,8.2,28.3,No,,No,,No,,236.59,5,3.7,3.9
8/5/2026,11:39:34,CNR3750815,Cancelled by Driver,CUST62998,Auto,BTM Layout,Indiranagar,,,No,,Yes,The customer was coughing/sick,No,,,,,
3/5/2026,15:53:18,CNR9151228,Success,CUST97893,Mini,Chickpet,Varthur,5,17.5,No,,No,,No,,512.85,2.4,4.3,4.2
10/5/2026,10:51:52,CNR2830407,Cancelled by Customer,CUST47494,Bike,Airport Road,Richmond Town,,,Yes,Driver asked to cancel,No,,No,,,,,
5/5/2026,19:18:00,CNR6826621,Success,CUST18166,Auto,Sarjapur Road,RT Nagar,11.4,20.6,No,,No,,No,,918.3,28.5,4.1,4.5
30/5/2026,8:59:32,CNR2693427,Success,CUST89055,Prime Sedan,Lalbagh,Chickpet,11.7,46.1,No,,No,,No,,1174.39,4.1,4.3,5
24/5/2026,13:23:29,CNR6279738,Cancelled by Customer,CUST43730,eBike,Wilson Garden,Basavanagudi,,,Yes,Driver asked to cancel,No,,No,,,,,
20/5/2026,17:14:20,CNR7210300,Success,CUST77190,Bike,Shivajinagar,Rajajinagar,6.5,13.8,No,,No,,No,,520.72,18.6,4.2,4.7
27/5/2026,11:37:51,CNR6297674,Success,CUST57845,Auto,KR Puram,Vijayanagar,11.8,29.2,No,,No,,No,,219.27,27.7,4.6,3.6
24/5/2026,6:09:17,CNR2149423,Success,CUST22999,Auto,Anekal,Majestic,4.7,22.5,No,,No,,No,,851.24,3.7,4.1,5
6/5/2026,7:41:55,CNR2466773,Pending,CUST52518,Prime Sedan,Koramangala,Kalyan Nagar,,,No,,No,,No,,,,,
28/5/2026,12:36:10,CNR3895000,Cancelled by Driver,CUST90933,eBike,Lalbagh,Hebbal,,,No,,Yes,The customer was coughing/sick,No,,,,,
17/5/2026,13:26:25,CNR3816964,Pending,CUST88217,Mini,Malleshwaram,Vijayanagar,,,No,,No,,No,,,,,
24/5/2026,17:46:18,CNR4754963,Success,CUST56262,Prime Sedan,Basavanagudi,Begur,7,47.5,No,,No,,No,,519.99,29.7,3.6,3.9
29/5/2026,18:38:37,CNR6313914,Success,CUST69546,Prime Plus,RT Nagar,Bellandur,5.9,14.7,No,,No,,No,,566.3,22.9,4.3,3.8
10/5/2026,11:19:33,CNR7285316,Success,CUST54009,eBike,Koramangala,HSR Layout,6.1,10.3,No,,No,,No,,491.12,13.4,3.7,4.2
3/5/2026,10:09:15,CNR1510132,Cancelled by Driver,CUST89789,eBike,Yeshwanthpur,Shivajinagar,,,No,,Yes,Customer related issue,No,,,,,
8/5/2026,22:38:58,CNR7351241,Success,CUST99667,Mini,Airport Road,Hoodi,9.8,15.9,No,,No,,No,,409.76,13.9,4.2,4.5
14/5/2026,15:56:10,CNR7653230,Success,CUST59635,Auto,Brookefield,Bommanahalli,3.8,10.6,No,,No,,No,,411.62,30.7,3.8,4.8
25/5/2026,16:08:56,CNR9589684,Success,CUST52943,Bike,Indiranagar,MG Road,6,42.9,No,,No,,No,,425.15,10.7,3.5,3.9
27/5/2026,18:02:26,CNR3143477,Success,CUST16975,Bike,Kalyan Nagar,Ulsoor,9.2,18.2,No,,No,,No,,235.61,34.4,4,4.3
1/5/2026,3:55:14,CNR5739392,Success,CUST25091,Auto,Yelahanka,JP Nagar,9.1,13.4,No,,No,,No,,951.73,23.4,3.7,4.6
17/5/2026,22:45:59,CNR1288333,Success,CUST23883,Prime SUV,Chickpet,Hebbal,2.7,11.4,No,,No,,No,,294.5,8.6,4.5,3.5
13/5/2026,14:03:47,CNR2849383,Success,CUST19088,Prime Plus,Rajajinagar,Peenya,10.8,36.7,No,,No,,No,,653.37,8,4,4
7/5/2026,12:15:15,CNR7875190,Success,CUST77485,Prime Sedan,CV Raman Nagar,Nagawara,9.1,25.7,No,,No,,No,,292.82,17.1,4.9,3.9
3/5/2026,18:27:26,CNR9901686,Cancelled by Driver,CUST63026,Mini,Hebbal,MG Road,,,No,,Yes,Personal & Car related issues,No,,,,,
10/5/2026,9:55:22,CNR5021836,Success,CUST85001,Prime SUV,Marathahalli,Hebbal,3.4,14.6,No,,No,,No,,325.67,34.3,4.2,4.5
30/5/2026,12:10:57,CNR2373626,Cancelled by Customer,CUST88609,Auto,Frazer Town,Hebbal,,,Yes,Wrong Address,No,,No,,,,,
10/5/2026,7:02:58,CNR6313525,Success,CUST64984,Bike,Electronic City,MG Road,4.7,45.7,No,,No,,No,,120.96,17.4,4.1,4.8
17/5/2026,12:48:15,CNR7929162,Success,CUST49731,eBike,Begur,Frazer Town,8.1,56.8,No,,No,,No,,170.38,20.5,4.3,3.8
23/5/2026,15:16:46,CNR7388026,Cancelled by Driver,CUST90804,Prime Sedan,Ulsoor,Rajajinagar,,,No,,Yes,Personal & Car related issues,No,,,,,
11/5/2026,21:45:04,CNR1234568,Success,CUST63773,Mini,Koramangala,Kalyan Nagar,2.4,36.4,No,,No,,No,,354.26,6.1,4.2,4.9
31/5/2026,15:39:40,CNR1751145,Cancelled by Driver,CUST57180,Prime Plus,Kalyan Nagar,Whitefield,,,No,,Yes,Customer related issue,No,,,,,
31/5/2026,21:10:26,CNR2503888,Success,CUST54363,Auto,Kalyan Nagar,Kadugodi,5.1,11.1,No,,No,,No,,450.79,6.7,4.6,4.3
9/5/2026,9:29:06,CNR1553996,Success,CUST43719,Auto,Lalbagh,Ulsoor,8.1,10.6,No,,No,,No,,1168.53,12.7,4.4,4.4
16/5/2026,12:17:59,CNR8180864,Success,CUST44292,Prime SUV,Devanahalli,Peenya,11.5,57.5,No,,No,,No,,1197.72,1.8,4,4.1
10/5/2026,19:14:34,CNR3542284,Success,CUST28464,Bike,Ulsoor,Whitefield,3.5,41,No,,No,,No,,114.17,9.2,3.7,4.6
9/5/2026,15:04:19,CNR5307450,Cancelled by Driver,CUST92533,Bike,Majestic,CV Raman Nagar,,,No,,Yes,Personal & Car related issues,No,,,,,
2/5/2026,19:44:41,CNR6681256,Incomplete,CUST93107,Mini,Yeshwanthpur,Sarjapur Road,,,No,,No,,Yes,Vehicle Breakdown,,,,
19/5/2026,14:32:03,CNR6575868,Cancelled by Driver,CUST45285,Auto,RT Nagar,JP Nagar,,,No,,Yes,Personal & Car related issues,No,,,,,
16/5/2026,22:32:38,CNR3684068,Success,CUST68134,Prime Sedan,Whitefield,Airport Road,8.1,40.8,No,,No,,No,,301.53,32.3,3.7,4.7
2/5/2026,16:00:26,CNR3661573,Success,CUST23448,Prime Sedan,Hebbal,Kalyan Nagar,9.5,59.5,No,,No,,No,,255.19,34.2,4.6,3.9
9/5/2026,10:41:01,CNR1248912,Cancelled by Driver,CUST52708,Auto,Varthur,Nagawara,,,No,,Yes,More than permitted people in there,No,,,,,
29/5/2026,9:45:45,CNR5785151,Success,CUST76014,eBike,Devanahalli,BTM Layout,11.1,15.1,No,,No,,No,,275.91,9.8,3.7,3.9
8/5/2026,12:49:52,CNR8476057,Success,CUST90482,Prime SUV,Devanahalli,Hoodi,11.6,29.8,No,,No,,No,,716.57,5.4,3.7,4.4
4/5/2026,18:45:36,CNR1923148,Cancelled by Customer,CUST36424,eBike,Kalyan Nagar,Sarjapur Road,,,Yes,Driver is not moving towards pickup location,No,,No,,,,,
16/5/2026,17:56:15,CNR4942582,Incomplete,CUST73258,Prime Sedan,Airport Road,Yeshwanthpur,,,No,,No,,Yes,Other Issue,,,,
31/5/2026,10:53:47,CNR9572211,Success,CUST23782,Prime SUV,Bellandur,Varthur,4.4,54.1,No,,No,,No,,627,8,5,4.5
8/5/2026,10:00:44,CNR2676052,Cancelled by Customer,CUST27820,Auto,Shivajinagar,Indiranagar,,,Yes,Change of plans,No,,No,,,,,
22/5/2026,17:18:37,CNR6421533,Pending,CUST70642,Auto,Hoodi,HSR Layout,,,No,,No,,No,,,,,
24/5/2026,11:13:16,CNR2913696,Success,CUST18028,Prime Plus,Sahakar Nagar,Indiranagar,11.4,21.7,No,,No,,No,,526.02,12.2,3.9,4.4
8/5/2026,9:27:07,CNR7515198,Success,CUST84355,Auto,Varthur,Hoodi,2.6,56,No,,No,,No,,392.06,17.6,4.3,4.2
23/5/2026,18:48:59,CNR6586192,Success,CUST37894,Mini,HSR Layout,Electronic City,6.8,55.6,No,,No,,No,,191.78,11.8,4.9,3.6
11/5/2026,20:26:31,CNR1474856,Cancelled by Customer,CUST71432,Mini,CV Raman Nagar,Vijayanagar,,,Yes,Change of plans,No,,No,,,,,
20/5/2026,21:00:11,CNR6441009,Cancelled by Driver,CUST79317,Bike,BTM Layout,Yelahanka,,,No,,Yes,More than permitted people in there,No,,,,,
20/5/2026,18:51:06,CNR8888053,Success,CUST73098,Prime Plus,Malleshwaram,Nagawara,9.6,10.1,No,,No,,No,,323.64,9,4.5,4.9
17/5/2026,14:34:41,CNR6487716,Pending,CUST94326,Mini,Hoodi,Airport Road,,,No,,No,,No,,,,,
3/5/2026,14:55:04,CNR2013052,Success,CUST55134,eBike,Rajajinagar,Anekal,2.5,59.9,No,,No,,No,,377.78,33.2,4.1,4.5
26/5/2026,12:37:18,CNR2051892,Cancelled by Driver,CUST63652,Prime SUV,Chickpet,Varthur,,,No,,Yes,More than permitted people in there,No,,,,,
10/5/2026,14:51:14,CNR2235823,Success,CUST75593,Prime Sedan,Basavanagudi,Rajajinagar,4.7,14.1,No,,No,,No,,624.62,26.8,3.6,4.5
6/5/2026,19:42:20,CNR7964393,Cancelled by Driver,CUST70053,Mini,Varthur,Majestic,,,No,,Yes,More than permitted people in there,No,,,,,
2/5/2026,16:39:42,CNR1045203,Success,CUST52112,eBike,Ulsoor,BTM Layout,5.3,24.2,No,,No,,No,,507.54,17,3.7,4.4
18/5/2026,17:58:05,CNR8103488,Cancelled by Driver,CUST97275,eBike,Vijayanagar,Hennur,,,No,,Yes,Personal & Car related issues,No,,,,,
22/5/2026,17:05:58,CNR7002727,Incomplete,CUST37181,Prime Sedan,Indiranagar,Yeshwanthpur,,,No,,No,,Yes,Vehicle Breakdown,,,,
1/5/2026,10:09:49,CNR6099930,Success,CUST28195,Mini,Sahakar Nagar,Kalyan Nagar,4.9,30.7,No,,No,,No,,372.01,9.4,4.2,4.9
17/5/2026,15:26:42,CNR8231581,Incomplete,CUST84733,Mini,Nagawara,Hoodi,,,No,,No,,Yes,Vehicle Breakdown,,,,
8/5/2026,11:39:50,CNR1170471,Cancelled by Driver,CUST16666,Mini,Kadugodi,Banashankari,,,No,,Yes,Personal & Car related issues,No,,,,,
